Survived,Pclass,age,fare,numsib,numpar
0,3,22,7.25,1,0
1,1,38,71.2833,1,0
1,3,26,7.925,0,0
1,1,35,53.1,1,0
0,3,35,8.05,0,0
0,1,54,51.8625,0,0
0,3,2,21.075,3,1
1,3,27,11.1333,0,2
1,2,14,30.0708,1,0
1,3,4,16.7,1,1
1,1,58,26.55,0,0
0,3,20,8.05,0,0
0,3,39,31.275,1,5
0,3,14,7.8542,0,0
1,2,55,16,0,0
0,3,2,29.125,4,1
0,3,31,18,1,0
0,2,35,26,0,0
1,2,34,13,0,0
1,3,15,8.0292,0,0
1,1,28,35.5,0,0
0,3,8,21.075,3,1
1,3,38,31.3875,1,5
0,1,19,263,3,2
0,1,40,27.7208,0,0
0,2,66,10.5,0,0
0,1,28,82.1708,1,0
0,1,42,52,1,0
0,3,21,8.05,0,0
0,3,18,18,2,0
1,3,14,11.2417,1,0
0,3,40,9.475,1,0
0,2,27,21,1,0
1,2,3,41.5792,1,2
1,3,19,7.8792,0,0
0,3,18,17.8,1,0
0,3,7,39.6875,4,1
0,3,21,7.8,0,0
1,1,49,76.7292,1,0
1,2,29,26,1,0
0,1,65,61.9792,0,1
1,2,21,10.5,0,0
0,3,28.5,7.2292,0,0
1,2,5,27.75,1,2
0,3,11,46.9,5,2
0,3,22,7.2292,0,0
1,1,38,80,0,0
0,1,45,83.475,1,0
0,3,4,27.9,3,2
1,2,29,10.5,0,0
0,3,19,8.1583,0,0
1,3,17,7.925,4,2
0,3,26,8.6625,2,0
0,2,32,10.5,0,0
0,3,16,46.9,5,2
0,2,21,73.5,0,0
0,3,26,14.4542,1,0
1,3,32,56.4958,0,0
0,3,25,7.65,0,0
1,2,0.83,29,0,2
1,3,30,12.475,0,0
0,3,22,9,0,0
1,3,29,9.5,0,0
0,1,28,47.1,0,0
1,2,17,10.5,0,0
1,3,33,15.85,3,0
0,3,16,34.375,1,3
1,1,23,263,3,2
0,3,24,8.05,0,0
0,3,29,8.05,0,0
0,3,20,7.8542,0,0
0,1,46,61.175,1,0
0,3,26,20.575,1,2
0,3,59,7.25,0,0
0,1,71,34.6542,0,0
1,1,23,63.3583,0,1
1,2,34,23,0,1
0,2,34,26,1,0
0,3,28,7.8958,0,0
0,1,21,77.2875,0,1
0,3,33,8.6542,0,0
0,3,37,7.925,2,0
0,3,28,7.8958,0,0
1,3,21,7.65,0,0
0,3,38,7.8958,0,0
0,1,47,52,0,0
0,3,14.5,14.4542,1,0
0,3,22,8.05,0,0
0,3,20,9.825,1,0
0,3,17,14.4583,0,0
0,3,21,7.925,0,0
0,3,70.5,7.75,0,0
0,2,29,21,1,0
0,1,24,247.5208,0,1
0,3,2,31.275,4,2
0,2,21,73.5,2,0
0,2,32.5,30.0708,1,0
1,2,32.5,13,0,0
0,1,54,77.2875,0,1
1,3,12,11.2417,1,0
1,3,24,7.1417,0,0
0,3,45,6.975,0,0
0,3,33,7.8958,0,0
0,3,20,7.05,0,0
0,3,47,14.5,1,0
1,2,29,26,1,0
0,2,25,13,0,0
0,2,23,15.0458,0,0
1,1,19,26.2833,0,2
0,1,37,53.1,1,0
0,3,16,9.2167,0,0
0,1,24,79.2,0,0
1,3,22,7.75,0,0
1,3,24,15.85,1,0
0,3,19,6.75,0,0
0,2,18,11.5,0,0
0,2,19,36.75,1,1
1,3,27,7.7958,0,0
0,3,9,34.375,2,2
0,2,36.5,26,0,2
0,2,42,13,0,0
0,2,51,12.525,0,0
1,1,22,66.6,1,0
0,3,55.5,8.05,0,0
0,3,40.5,14.5,0,2
0,1,51,61.3792,0,1
1,3,16,7.7333,0,0
0,3,30,8.05,0,0
0,3,44,16.1,0,1
1,2,40,15.75,0,0
0,3,26,7.775,0,0
0,3,17,8.6625,0,0
0,3,1,39.6875,4,1
1,3,9,20.525,0,2
0,3,45,27.9,1,4
0,3,28,56.4958,0,0
0,1,61,33.5,0,0
0,3,4,29.125,4,1
1,3,1,11.1333,1,1
0,3,21,7.925,0,0
0,1,56,30.6958,0,0
0,3,18,7.8542,1,1
0,1,50,28.7125,0,0
0,2,30,13,0,0
0,3,36,0,0,0
0,3,9,31.3875,4,2
1,2,1,39,2,1
1,3,4,22.025,0,2
1,1,45,26.55,0,0
0,3,40,15.5,1,1
0,3,36,7.8958,0,0
1,2,32,13,0,0
0,2,19,13,0,0
1,3,19,7.8542,1,0
1,2,3,26,1,1
1,1,44,27.7208,0,0
1,1,58,146.5208,0,0
0,3,42,8.4042,0,1
0,2,24,13,0,0
0,3,28,9.5,0,0
0,3,34,6.4958,0,0
0,3,45.5,7.225,0,0
1,3,18,8.05,0,0
0,3,2,10.4625,0,1
0,3,32,15.85,1,0
1,3,26,18.7875,0,0
1,3,16,7.75,0,0
1,1,40,31,0,0
0,3,24,7.05,0,0
1,2,35,21,0,0
0,3,22,7.25,0,0
0,2,30,13,0,0
1,1,31,113.275,1,0
1,3,27,7.925,0,0
0,2,42,27,1,0
1,1,32,76.2917,0,0
0,2,30,10.5,0,0
1,3,16,8.05,0,0
0,2,27,13,0,0
0,3,51,8.05,0,0
1,1,38,90,1,0
0,3,22,9.35,0,0
1,2,19,10.5,0,0
0,3,20.5,7.25,0,0
0,2,18,13,0,0
1,1,35,83.475,1,0
0,3,29,7.775,0,0
0,2,59,13.5,0,0
1,3,5,31.3875,4,2
0,2,24,10.5,0,0
0,2,44,26,1,0
1,2,8,26.25,0,2
0,2,19,10.5,0,0
0,2,33,12.275,0,0
0,2,29,10.5,0,0
0,3,22,7.125,0,0
0,3,30,7.225,0,0
0,1,44,90,2,0
0,3,25,7.775,0,0
1,2,24,14.5,0,2
1,1,37,52.5542,1,1
0,2,54,26,1,0
0,3,29,10.4625,1,1
0,1,62,26.55,0,0
0,3,30,16.1,1,0
0,3,41,20.2125,0,2
1,3,29,15.2458,0,2
1,1,30,86.5,0,0
1,1,35,512.3292,0,0
1,2,50,26,0,1
1,3,3,31.3875,4,2
0,1,52,79.65,1,1
0,1,40,0,0,0
0,2,36,10.5,0,0
0,3,16,39.6875,4,1
1,3,25,7.775,1,0
1,1,58,153.4625,0,1
1,1,35,135.6333,0,0
1,3,25,0,0,0
1,2,41,19.5,0,1
0,1,37,29.7,0,1
1,1,63,77.9583,1,0
0,3,45,7.75,0,0
0,3,7,29.125,4,1
1,3,35,20.25,1,1
0,3,65,7.75,0,0
0,3,28,7.8542,0,0
0,3,16,9.5,0,0
1,3,19,8.05,0,0
0,3,33,8.6625,0,0
1,3,30,9.5,0,0
0,3,22,7.8958,0,0
1,2,42,13,0,0
1,3,22,7.75,0,0
1,1,26,78.85,0,0
1,1,19,91.0792,1,0
0,2,36,12.875,0,0
0,3,24,8.85,0,0
0,3,24,7.8958,0,0
0,3,23.5,7.2292,0,0
0,1,2,151.55,1,2
1,1,50,247.5208,0,1
0,3,19,0,0,0
1,1,0.92,151.55,1,2
1,1,17,108.9,1,0
0,2,30,24,1,0
1,1,30,56.9292,0,0
1,1,24,83.1583,0,0
1,1,18,262.375,2,2
0,2,26,26,1,1
0,3,28,7.8958,0,0
0,2,43,26.25,1,1
1,3,26,7.8542,0,0
1,2,24,26,1,0
0,2,54,14,0,0
1,1,31,164.8667,0,2
1,1,40,134.5,1,1
0,3,22,7.25,0,0
0,3,27,7.8958,0,0
1,2,30,12.35,0,0
1,2,22,29,1,1
1,1,36,135.6333,0,0
0,3,61,6.2375,0,0
1,2,36,13,0,0
1,3,31,20.525,1,1
1,1,16,57.9792,0,1
0,1,45.5,28.5,0,0
0,1,38,153.4625,0,1
0,3,16,18,2,0
0,1,29,66.6,1,0
1,1,41,134.5,0,0
1,3,45,8.05,0,0
0,1,45,35.5,0,0
1,2,2,26,1,1
1,1,24,263,3,2
0,2,28,13,0,0
0,2,25,13,0,0
0,2,36,13,0,0
1,2,24,13,0,0
1,2,40,13,0,0
1,3,3,15.9,1,1
0,3,42,8.6625,0,0
0,3,23,9.225,0,0
0,3,15,7.2292,1,1
0,3,25,17.8,1,0
0,3,28,9.5,0,0
1,1,22,55,0,1
0,2,38,13,0,0
0,3,40,27.9,1,4
0,2,29,27.7208,1,0
0,3,45,14.4542,0,1
0,3,35,7.05,0,0
0,3,30,7.25,0,0
1,1,60,75.25,1,0
1,1,24,69.3,0,0
1,1,25,55.4417,1,0
0,3,18,6.4958,1,0
0,3,19,8.05,0,0
0,1,22,135.6333,0,0
0,3,3,21.075,3,1
1,3,22,7.25,0,0
0,1,27,211.5,0,2
0,3,20,4.0125,0,0
0,3,19,7.775,0,0
1,1,42,227.525,0,0
1,3,1,15.7417,0,2
0,3,32,7.925,0,0
1,1,35,52,1,0
0,2,18,73.5,0,0
0,3,1,46.9,5,2
1,2,36,13,0,0
1,2,17,12,0,0
1,1,36,120,1,2
1,3,21,7.7958,0,0
0,3,28,7.925,2,0
1,1,23,113.275,1,0
1,3,24,16.7,0,2
0,3,22,7.7958,0,0
0,3,31,7.8542,0,0
0,2,46,26,0,0
0,2,23,10.5,0,0
1,2,28,12.65,0,0
